MDM2_HUMAN MDM2_HUMAN
MDM2_HUMAN ANDR_HUMAN
MDM2_HUMAN MAPK2_HUMAN
RNF4_HUMAN PARP1_HUMAN
VHL_HUMAN AURKA_HUMAN
XIAP_HUMAN RIPK2_HUMAN
XIAP_HUMAN M3K7_HUMAN
MDM2_MESAU MDM2_MESAU
