BRCA1	HIST1H2AB
BRCA1	NPM1
BRCA1	NR1H3
BRCA1	PSMA7
BRCA1	TOP2A
RAD18	FANCD2
RAD18	PCNA
RAD18	RAD18
RAD18	RFC2
RAD18	TP53
TRIM25	DDX58
TRIM25	KEAP1
TRIM25	RIPK3
TRIM25	TRAF2
TRIM25	TRIM25
TRIM27	CDKN1A
TRIM27	PIAS3
TRIM27	TBK1
TRIM27	TEAD4
TRIM21	CDKN1A
TRIM21	CDKN1B
TRIM21	CDT1
TRIM21	IFI16
TRIM21	IKBKB
TRIM21	IRF3
TRIM21	IRF7
TRIM21	IRF8
TRIM21	NUP62
TRIM21	SHMT2
TRIM21	TRIM21
TRIM21	TRIM5
TRIM22	IRF3
TRIM22	NFKB1
TRIM22	TRIM22
RNF138	RNF138
RNF138	XRCC5
MDM2	ARPC3
MDM2	ARRB1
MDM2	ARRB2
MDM2	BTK
MDM2	CCNE1
MDM2	CDK4
MDM2	CDK6
MDM2	CDKN1A
MDM2	DAXX
MDM2	DYRK2
MDM2	E2F1
MDM2	EGFR
MDM2	FOXP3
MDM2	GNL3
MDM2	HBP1
MDM2	IRF1
MDM2	IRF2
MDM2	MDM2
MDM2	NFATC2
MDM2	NOL3
MDM2	NR3C1
MDM2	PARP1
MDM2	PER2
MDM2	POLQ
MDM2	PSMD4
MDM2	RARA
MDM2	RB1
MDM2	RPL26
MDM2	RPS2
MDM2	RPS27A
MDM2	RRM2B
MDM2	RUNX3
MDM2	SUV39H1
MDM2	TP53
MDM2	TP73
MDM2	TTF1
MDM2	WDR5
MDM2	XRCC6
RNF181	RNF181
RBX1	RPS6KB1
RNF216	RNF216
RNF216	TLR4
RNF216	TLR8
ZFP91	HNRNPF
SMURF1	ADRM1
SMURF1	ANKRD13A
SMURF1	ANKRD13D
SMURF1	ANKRD50
SMURF1	ANXA6
SMURF1	AXIN1
SMURF1	BTK
SMURF1	C6orf106
SMURF1	CCDC69
SMURF1	ELOF1
SMURF1	FAF2
SMURF1	FES
SMURF1	FGR
SMURF1	ITK
SMURF1	KRT36
SMURF1	LCK
SMURF1	MAP3K2
SMURF1	MAP4K5
SMURF1	MATK
SMURF1	MSN
SMURF1	NEK2
SMURF1	ODF2
SMURF1	PRR16
SMURF1	PSMD4
SMURF1	RAC1
SMURF1	RAD23A
SMURF1	RBCK1
SMURF1	RHOA
SMURF1	RIOK3
SMURF1	RUNX2
SMURF1	SCYL1
SMURF1	SMAD5
SMURF1	TAOK3
SMURF1	TBK1
SMURF1	TBX6
SMURF1	TNIK
SMURF1	TRIP10
SMURF1	UBE2D1
SMURF1	USP5
SMURF1	UVRAG
SMURF2	AXIN1
SMURF2	CTNNB1
SMURF2	EGFR
SMURF2	EZH2
SMURF2	ID3
SMURF2	MAD2L1
SMURF2	PARP1
SMURF2	RAP1B
SMURF2	RHOA
SMURF2	RUNX2
SMURF2	SMAD5
SMURF2	SMURF1
SMURF2	STAMBP
SMURF2	STAMBPL1
SMURF2	TNFRSF1B
SMURF2	TOP2A
RNF130	VAMP3
RNF135	DDX58
PJA2	KSR1
PJA2	PJA2
PARP1	SIAH1
HERC5	NME2
RBCK1	BACH1
RBCK1	IKBKG
RBCK1	IRF3
RBCK1	RBCK1
RBCK1	TRIM25
FBXO4	CCND1
FBXO4	ICAM1
FBXO4	MCL1
FBXO6	CHEK1
FBXO6	ERO1A
FBXO6	IRF3
FBXO6	RIOK1
FBXO6	RNASET2
FBXO45	FBXW7
FBXO45	TP73
FBXO45	ZEB1
FBXO45	ZEB2
FBXO42	TP53
DTX2	DTX2
BIRC3	BCL10
BIRC3	BIRC3
BIRC3	CASP3
BIRC3	CASP7
BIRC3	CASP8
