Patient_ID	01OV002	01OV007	01OV008	01OV010	01OV013	01OV017	01OV018	01OV019	01OV023	01OV024	01OV026	01OV029	01OV030	01OV033	01OV039	01OV041	01OV045	01OV046	01OV047	01OV049	02OV001	02OV005	02OV006	02OV008	02OV015	02OV022	02OV023	02OV029	02OV032	02OV035	02OV036	02OV040	02OV041	02OV042	02OV044	02OV045	02OV046	04OV001	04OV004	04OV005	04OV008	04OV011	04OV012	04OV013	04OV017	04OV018	04OV021	04OV023	04OV024	04OV027	04OV028	04OV031	04OV033	04OV036	04OV037	04OV039	04OV040	04OV041	04OV044	04OV045	04OV048	04OV049	04OV050	04OV051	04OV053	04OV054	04OV055	04OV057	04OV058	04OV063	11OV002	11OV009	11OV010	13OV003	13OV004	14OV011	14OV029	15OV001	17OV001	17OV002	17OV003	17OV004	17OV005	17OV010	17OV011	17OV012	17OV013	17OV014	17OV015	17OV017	17OV018	17OV019	17OV025	17OV027	17OV028	17OV029	17OV030	17OV033	17OV034	17OV036	17OV039	17OV040	18OV001	20OV005	22OV001	26OV002	26OV008	26OV009	26OV010	26OV011	26OV013	01OV007.N	01OV008.N	01OV010.N	01OV013.N	01OV017.N	01OV019.N	01OV023.N	01OV029.N	01OV039.N	02OV001.N	11OV002.N	11OV010.N	14OV011.N	14OV029.N	15OV001.N	17OV001.N	17OV002.N	17OV003.N	17OV004.N	17OV005.N
Sample_Tumor_Normal	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
PDGFA	6.76008	8.46372	1.7593400000000001	2.76442	5.16362	2.45899	3.82418	5.25084	3.23984		2.60189		22.0852		1.07994	2.81832	1.6549599999999998	2.35586	1.6481400000000002	8.14541		5.45325	5.57238	2.81374	16.2755	5.72306	5.900180000000001	5.49695	4.5261	21.7463	1.6035	0.5731390000000001	9.548760000000001	0.598017	3.05772	3.31956	2.57075	6.49744	2.5798400000000004	8.712	2.0914599999999997	4.590380000000001	9.52169	9.26165	2.46723	3.71466	16.4757	2.90457	0.9139379999999999	1.21559	1.99273	7.50247	2.73828	5.68159	5.6277099999999995	6.87412	5.338019999999999	7.68605	2.70643	4.4299800000000005	2.33865	10.6477	1.81955	4.50934	3.65715	5.8922300000000005	8.652660000000001	11.1339	1.34407	1.43293	1.47084	2.6576		7.64916	4.20068	7.31185		6.31625	1.79467	0.707734				0.922959	9.69685		9.8473	8.463519999999999	4.766830000000001	31.6742	7.33292	2.24346	1.70134	2.436	3.9435300000000004	6.71299	2.56731	1.60055	2.56104	7.016589999999999	3.33215	9.3668	17.5361	3.03612	3.66014	9.69693	1.04146	12.6166	5.4513	3.0146599999999997	2.71138																				
PDGFRA	11.0203	18.3531	5.02487	3.94982	21.7995	8.98714	13.9009	4.25632	11.1673		13.6334		7.67205		0.874072	12.5745	8.70091	7.866210000000001	6.68622	2.3864900000000002		1.8997400000000002	18.1708	14.1039	9.69008	8.56165	9.6338	2.35963	3.75746	6.469519999999999	1.9225400000000001	3.99888	1.33483	0.0828832	1.31667	4.556769999999999	1.26389	8.24232	4.46375	14.4231	11.3236	0.837146	13.635	5.114319999999999	1.56911	13.0721	17.4942	11.1952	1.6240700000000001	8.18858	14.9796	8.43412	7.91787	13.7764	8.98494	9.150319999999999	5.12171	8.52773	4.7984	9.85998	4.21887	13.9761	2.51473	8.741019999999999	5.846019999999999	1.21381	8.32615	3.4755199999999995	1.40275	3.4777699999999996	4.918880000000001	10.0711		11.6261	50.276	16.947		45.775	8.01096	2.60918				1.86327	7.95902		5.09785	22.5198	16.0194	1.14994	14.2369	4.086530000000001	1.87104	6.7838899999999995	2.8599	0.475612	4.59575	0.657357	3.9517	4.37716	6.956689999999999	13.0553	2.82452	2.12007	4.89436	8.53133	2.85367	2.05813	1.52467	15.0782	1.73164																				
PDGFRB	3.63945	0.0	1.3856899999999999	0.99669	2.80985	3.05887	5.04566	0.904259	3.8454099999999998		10.5027		1.14171		0.8995780000000001	11.7578	2.27201	0.0	4.39348	2.73496		1.7539	5.02789	3.11903	2.3952400000000003	1.88474	2.32063	3.35955	2.1205	1.9857900000000002	3.07312	1.96469	0.525918	0.24181100000000003	0.690615	0.0	0.46110200000000007	13.7238	6.6385	7.00358	8.71958	1.78685	27.8002	13.9737	2.42448	7.535010000000001	10.5702	5.59464	0.5203479999999999	6.02386	5.58153	5.54515	7.48349	7.95688	2.52013	6.93019	4.20142	6.3647800000000005	1.46445	10.3177	1.8685200000000002	0.0	0.525452	6.15601	3.33492	0.763629	7.038989999999999	2.61638	3.0363900000000004	3.3990699999999996	1.03704	9.78385		1.9496099999999998	1.4454799999999999	5.9641		16.2046	4.02349	1.1066200000000002				0.801687	16.2448		3.8643099999999997	14.9616	22.7072	0.772988	4.567069999999999	2.38246	0.652686	4.46305	0.0	1.3005200000000001	1.2188	1.73085	2.6230900000000004	4.3647599999999995	5.23135	7.741339999999999	1.52646	0.361482	5.92204	29.6988	0.788587	1.24325	3.07481	9.697389999999999	1.89333																				
PDHX	29.3009	7.02544	6.258769999999999	27.7299	9.53632	16.2997	10.4185	12.6199	9.12274		10.4091		8.78328		13.5	15.6308	16.1688	18.3005	8.930060000000001	13.4584		9.49574	9.189630000000001	13.9562	12.9511	5.60465	10.2785	10.1236	13.9437	16.7005	10.0622	108.47	8.829139999999999	9.214160000000001	28.8443	10.6051	9.65243	11.4078	10.7685	6.32739	8.5772	10.0895	13.2475	13.4154	9.53378	12.6994	16.0375	14.6103	14.5116	8.80678	8.55275	13.6823	11.2748	11.7304	19.1097	16.9704	9.92992	17.7768	12.4067	7.72653	11.9986	37.3022	16.4327	8.68182	17.7227	11.8714	17.4721	14.5321	12.7773	16.8479	7.6102	19.5495		14.5902	8.93787	11.8472		9.0618	12.6806	23.0413				7.829330000000001	12.4375		7.0643	6.1357	9.484119999999999	9.35015	12.2865	10.7885	10.6585	16.387	17.886	25.0099	13.3632	15.0572	11.9395	12.1975	7.2381	11.2382	13.5982	9.61771	25.0362	10.9474	9.97835	10.9966	9.39917	9.17502	10.1399																				
PDZRN3	1.39982	4.71696	3.45168	0.480712	2.2406	9.678469999999999	7.4673	0.869539	4.22774		4.42391		3.09495		0.507749	7.49202	2.55904	1.38717	6.73146	2.2911900000000003		2.03209	14.6748	3.3745300000000005	1.8902599999999998	1.6848599999999998	3.4450300000000005	1.25928	0.686984	2.2866299999999997	0.789151	3.1330400000000003	0.686084	2.42901	2.3621	2.40144	0.33103899999999997	3.00755	2.0628	11.3557	6.706060000000001	6.7126600000000005	13.0512	7.24764	18.3852	5.56535	5.65436	4.11402	7.62522	4.41892	6.019830000000001	1.7539200000000001	4.322030000000001	5.31824	8.71063	6.52951	6.803839999999999	2.948	12.6967	2.9426	0.9244389999999999	2.65572	2.72569	3.0215099999999997	7.4600800000000005	4.59359	3.2694	1.51373	1.72643	6.939539999999999	1.0178399999999999	8.66208		1.56385	2.11479	4.5205400000000004		7.6496	2.49617	0.9198620000000001				0.197432	1.55673		1.75462	6.8629999999999995	8.37953	0.336973	3.8844300000000005	6.51817	1.28395	3.8207800000000005	6.25165	0.82376	1.09832	3.90121	1.88435	4.31711	3.18492	2.41263	1.56871	4.5879900000000005	8.369480000000001	2.90118	1.9058700000000002	7.08775	2.5869	4.98701	1.463																				
PECAM1	5.80755	7.44366	1.23325	5.55366	5.8884099999999995	4.29479	7.502039999999999	1.41994	8.49045		8.013869999999999		1.63539		4.2797	7.62068	5.4856	13.0025	4.45845	3.07622		4.69393	10.6971	3.84884	3.6207	3.84334	4.24578	2.26127	0.0	3.5363	4.83411	5.3425199999999995	2.19025	23.8883	1.6263299999999998	4.99725	2.9100099999999998	6.7142	18.1283	9.2197	7.4863800000000005	1.12499	13.0138	5.46556	11.2708	6.36233	11.1508	8.37796	1.5043799999999998	21.4221	6.90459	5.85513	14.9509	6.1512	16.7218	4.90873	2.45025	7.74478	4.88313	8.2617	21.0472	13.4589	2.00238	6.37869	6.04665	2.7541700000000002	7.50007	4.1868099999999995	4.05631	5.9709699999999994	8.019639999999999	1.8712400000000002		3.20228	4.8548800000000005	17.9787		6.7801	5.66045	5.71813				3.61697	15.675		2.6057099999999997	12.6448	12.899000000000001	3.1488099999999997	7.27854	7.26443	3.13574	24.46	3.6479	1.5127899999999999	5.52382	2.71069	16.3998	7.5879199999999996	3.6038699999999997	25.1708	0.712427	1.34733	8.81575	3.5353800000000004	1.8505099999999999	1.0416100000000001	2.8431	10.1045	15.9498																				
PEF1	52.661	61.3585	33.8429	43.1759	38.5986	61.0565	58.6345	71.9396	22.9174		31.5025		25.4031		42.4171	25.4511	53.5945	22.4943	36.5867	45.0566		31.2576	67.3991	12.7774	20.2398	35.4283	24.5837	39.2438	69.7668	78.9414	49.1393	46.3942	44.1911	62.5418	49.4262	39.3228	24.9579	38.8782	17.0844	38.2006	28.6483	12.8313	27.7385	44.7237	33.5546	25.9591	31.6531	23.2123	25.9508	34.1761	39.5898	29.6135	22.2005	36.7359	28.0361	29.6111	28.529	51.8269	48.5547	23.6906	45.9603	48.9007	54.4854	35.1442	43.6953	38.0413	31.593000000000004	59.699	41.9859	42.0276	76.5449	25.5241		33.7902	41.1387	30.3633		21.7715	33.5953	41.6892				27.6883	27.0318		25.4194	35.1976	38.8443	48.7466	50.5215	20.758000000000003	26.6962	29.9111	34.8728	46.6764	36.8973	26.9568	47.6977	44.5634	33.2149	42.6148	38.5234	21.9063	41.9217	17.846	41.0568	17.3341	23.0352	34.8764	44.8515																				
PELI1	11.1528	11.6393	12.7321	8.13192	10.2612	15.9956	12.5101	6.0564800000000005	21.8281		9.06363		19.7247		6.8230699999999995	7.1679699999999995	9.544989999999999	11.8965	12.0736	8.67401		6.01791	7.68505	11.595999999999998	3.9348400000000003	6.17707	8.25871	6.4376	11.1159	9.3605	5.31612	15.0752	10.7819	9.477210000000001	5.891290000000001	9.52365	5.0355099999999995	13.3307	13.4574	9.926960000000001	16.3593	11.0458	10.0782	15.9639	6.25748	12.4992	8.02267	7.39353	10.5894	6.58617	9.439960000000001	9.13622	10.1862	11.099	9.82963	8.84553	11.3776	11.9923	3.7909	17.9958	15.0099	5.7794099999999995	9.06515	8.48857	27.6211	7.08553	7.60544	5.34532	6.02139	21.6441	0.0	10.9646		16.4041	2.98434	9.96205		12.3397	9.211260000000001	12.6619				15.123	10.2371		12.9742	32.4865	13.536	39.0451	16.5873	6.859260000000001	20.6655	14.2492	15.0658	7.322019999999999	6.7458	19.1481	11.8025	11.7467	5.3362300000000005	8.99582	12.2821	7.168189999999999	15.677	5.647930000000001	6.36322	12.5334	4.27349	13.1113	8.11973																				
PELI3	2.73615	1.94996	0.0	4.59626	1.6986900000000003	2.5425299999999997	0.0	2.72059	1.30745		3.04814		1.22726		5.36322	0.0	2.2094400000000003	0.0	2.42826	0.0		0.0	0.0	2.2099900000000003	0.0	2.3706	0.0	0.0	3.70775	0.0	0.0	0.0	2.49594	1.7338099999999999	0.0	2.8353599999999997	0.0	0.0	4.39671	0.0	0.0	0.0	1.84139	0.0	1.7215599999999998	1.9225299999999999	0.0	4.243930000000001	0.0	2.08819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.36144	0.0	0.0	0.8770870000000001	2.9043200000000002	0.0	0.0	6.316669999999999	2.99605	1.6940400000000002	1.57251	2.16397	0.0		6.2871	4.50632	1.5157		2.83236	1.3514	1.6722700000000001				1.1525299999999998	1.8247200000000001		2.15328	0.0	2.85479	0.0	0.0	3.4349	1.7889	3.7229900000000002	0.0	0.0	0.0	0.0	0.0	0.0	2.70628	0.0	0.0	0.0	2.49153	0.0	0.0	1.95183	1.9065	3.33826	2.25707																				
PER1	1.11952	0.43887200000000004	1.2116799999999999	0.133241	0.18165	0.0	0.0	0.32763200000000003	1.7620799999999999		3.10379		1.17475		6.09136	1.7231900000000002	1.15345	13.4581	0.714925	0.0		2.1257599999999996	0.526601	4.23281	3.7139300000000004	0.0	2.21927	4.50068	1.71243	2.0066900000000003	0.0	0.0	0.547852	0.276781	0.801304	2.82918	0.12479200000000001	1.15639	2.21559	1.7961	7.200010000000001	2.97865	0.0	6.55922	2.13942	2.0421400000000003	7.07021	0.561963	1.24389	2.92136	2.93859	0.0	1.1772799999999999	1.28116	1.9098700000000002	0.997899	6.52674	0.642281	0.7588239999999999	1.05948	2.14317	3.3030699999999995	1.13995	1.5344	2.2688099999999998	1.51101	1.4546700000000001	1.42711	1.5411299999999999	9.05824	0.25616	1.9389299999999998		1.03546	0.431936	5.22971		12.3554	1.40445	1.30031				3.4731199999999998	3.4070699999999996		6.17782	1.79605	11.9607	1.30679	1.31349	2.9048	0.0	1.04651	4.28147	4.64999	1.82654	0.689389	0.0	0.825995	1.68355	2.99054	0.587246	0.052358	6.8075	7.27832	0.978223	5.3002	1.71298	16.7794	0.735572																				
